rank,code,name,market,return_pct,start_date,start_price,end_date,end_price,source
134,01613.HK,协同通信,HK,214.81481113551587,2025-08-01,0.27000001072883606,2026-07-31,0.8500000238418579,Yahoo Finance chart adjclose
135,002008.SZ,大族激光,A,213.78237044474616,2025-07-31,26.932680130004883,2026-07-31,84.51000213623047,Yahoo Finance yfinance auto_adjust=True
136,002980.SZ,华盛昌,A,213.5826065684829,2025-07-31,21.1299991607666,2026-07-31,66.26000213623047,Yahoo Finance yfinance auto_adjust=True
137,603986.SH,兆易创新,A,213.01207033809297,2025-07-31,120.95380401611328,2026-07-31,378.6000061035156,Yahoo Finance yfinance auto_adjust=True
138,688195.SH,腾景科技,A,212.42889606543338,2025-07-31,34.58386993408203,2026-07-31,108.05000305175781,Yahoo Finance yfinance auto_adjust=True
139,002281.SZ,光迅科技,A,211.1645650095999,2025-07-31,51.95000076293945,2026-07-31,161.64999389648438,Yahoo Finance yfinance auto_adjust=True
140,02528.HK,尚晋国际控股,HK,211.1110890353176,2025-08-01,0.27000001072883606,2026-07-31,0.8399999737739563,Yahoo Finance chart adjclose
141,003004.SZ,*ST声迅,A,211.03677578564634,2025-07-31,17.940000534057617,2026-07-31,55.79999923706055,Yahoo Finance yfinance auto_adjust=True
142,02178.HK,百勤油服,HK,210.1449375517154,2025-08-01,0.0689999982714653,2026-07-31,0.21400000154972076,Yahoo Finance chart adjclose
143,600176.SH,中国巨石,A,210.112693957619,2025-07-31,12.20201587677002,2026-07-31,37.84000015258789,Yahoo Finance yfinance auto_adjust=True
144,000657.SZ,中钨高新,A,208.11527565799514,2025-07-31,16.068660736083984,2026-07-31,49.5099983215332,Yahoo Finance yfinance auto_adjust=True
145,01481.HK,竣球控股,HK,206.12244302160997,2025-08-01,0.49000000953674316,2026-07-31,1.5,Yahoo Finance chart adjclose
146,01637.HK,顺兴集团控股,HK,204.108078613976,2025-08-01,0.14468540251255035,2026-07-31,0.4399999976158142,Yahoo Finance chart adjclose
